25
17
1,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
23,1
1,2
7,2
13,2
15,2
21,2
23,2
1,3
2,3
3,3
4,3
5,3
7,3
9,3
10,3
11,3
12,3
13,3
15,3
17,3
19,3
20,3
21,3
23,3
5,4
7,4
9,4
15,4
17,4
19,4
23,4
1,5
2,5
3,5
5,5
7,5
8,5
9,5
10,5
11,5
13,5
15,5
17,5
19,5
20,5
21,5
22,5
23,5
1,6
3,6
5,6
11,6
13,6
15,6
17,6
23,6
1,7
3,7
5,7
6,7
7,7
8,7
9,7
11,7
12,7
13,7
15,7
17,7
18,7
19,7
20,7
21,7
23,7
1,8
9,8
13,8
15,8
19,8
23,8
1,9
3,9
4,9
5,9
6,9
7,9
8,9
9,9
11,9
12,9
13,9
15,9
16,9
17,9
19,9
20,9
21,9
22,9
23,9
1,10
3,10
13,10
17,10
19,10
1,11
2,11
3,11
5,11
6,11
7,11
8,11
9,11
10,11
11,11
13,11
14,11
15,11
17,11
19,11
20,11
21,11
22,11
23,11
1,12
7,12
11,12
15,12
17,12
23,12
1,13
3,13
4,13
5,13
6,13
7,13
9,13
10,13
11,13
13,13
14,13
15,13
17,13
19,13
20,13
21,13
23,13
1,14
3,14
9,14
17,14
19,14
23,14
1,15
2,15
3,15
5,15
6,15
7,15
8,15
9,15
10,15
11,15
12,15
13,15
14,15
15,15
16,15
17,15
19,15
20,15
21,15
22,15
23,15
